GameID,Champion,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
61466,Kennen,Zeus,TOP,18,1,3,2,1,358,30,,7.7,15572,336,19.6%,55,17,13,6,6,1.19,0.37,0.13,0.28,12.1%,24176,2274,21823,79,522,21%,0.06,23.1%,,0,0,0,0,-752,-20,-1017,0,0,0,0,4195,0,16720,0,14,192,19361,88,8,29,0,50
61466,Poppy,Oner,JUNGLE,17,6,1,6,12,220,193,,4.7,14466,312,18.2%,77,18,20,17,16,1.66,0.39,0.37,0.43,17%,14224,11506,2034,684,307,12.4%,0.26,92.3%,,0,0,0,0,1059,14,-104,0,0,0,0,17244,0,117445,1671,47,1075,37660,21,19,40,0,100
61466,Corki,Faker,MID,18,4,3,5,3,475,36,,10.3,20597,445,25.9%,77,19,18,4,4,1.66,0.41,0.09,0.39,17%,36524,26084,5441,4999,788,31.8%,0.19,69.2%,,0,0,0,0,1793,36,850,1,0,10446,10446,11174,0,24611,0,2,89,27122,83,8,26,450,800
61466,Jhin,Gumayusi,ADC,18,2,1,8,10,492,40,,10.6,19264,416,24.3%,43,14,12,3,3,0.93,0.3,0.06,0.26,9.5%,35863,29946,5917,0,774,31.2%,0.22,76.9%,,0,0,0,0,-1091,-8,-385,0,1,0,0,11365,0,15978,0,53,339,21802,53,6,29,100,300
61466,Leona,Keria,SUPPORT,13,0,4,5,1.3,44,0,,0.9,9474,204,11.9%,201,119,21,36,35,4.34,2.57,0.78,0.45,44.4%,4238,718,2782,738,91,3.7%,0.11,38.5%,,0,0,0,0,65,1,544,0,0,719,719,1242,0,29185,0,21,78,25535,119,39,58,0,0
61466,Renekton,kingen,TOP,18,2,3,2,1.3,388,24,,8.4,17450,377,20.7%,78,23,19,19,19,1.68,0.5,0.41,0.41,15.9%,9704,8204,1500,0,209,10.4%,0.09,33.3%,,0,0,0,0,752,20,1017,0,0,5264,5264,11749,0,48804,0,17,322,40090,103,20,42,0,0
61466,Maokai,Lucid,JUNGLE,18,2,2,9,5.5,218,187,,4.7,14468,312,17.1%,81,25,18,23,23,1.75,0.54,0.5,0.39,16.5%,15354,1011,13880,463,331,16.4%,0.24,91.7%,,0,0,0,0,-1059,-14,104,0,1,449,449,28815,0,53952,0,57,581,58130,60,26,45,350,0
61466,Taliyah,ShowMaker,MID,18,2,3,8,3.3,367,39,,7.9,17457,377,20.7%,91,29,17,13,13,1.96,0.63,0.28,0.37,18.5%,23502,957,22110,435,507,25.1%,0.22,83.3%,,0,0,0,0,-1793,-36,-850,-1,0,1896,1896,3113,1041,11652,0,38,668,15537,29,17,41,100,100
61466,Miss Fortune,Aiming,ADC,18,6,1,2,8,537,60,,11.6,24248,523,28.7%,75,15,26,5,5,1.62,0.32,0.11,0.56,15.3%,38948,37745,1149,54,841,41.7%,0.17,66.7%,,1,0,0,0,1091,8,385,0,0,17042,17042,4462,0,36332,0,8,327,8817,53,7,29,800,450
61466,Braum,Kellin,SUPPORT,15,0,4,7,1.8,37,0,,0.8,10746,232,12.7%,166,80,17,20,20,3.58,1.73,0.43,0.37,33.8%,5957,308,5649,0,129,6.4%,0.15,58.3%,,0,0,0,0,-65,-1,-544,0,0,456,456,2172,398,28204,2492,36,169,30483,123,23,42,0,0
