GameID,Team,Side,Result,Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
62331,DK,Blue,Win,kingen,Rumble,TOP,16,1,4,6,1.8,234,12,,7.2,11657,361,18.6%,40,12,7,7,7,1.24,0.37,0.22,0.22,14.1%,19064,510,18489,65,590,27%,0.22,58.3%,,0,0,0,0,5,19,-328,0,0,4807,4807,5350,580,19400,0,10,284,19531,127,9,27,100,50
62331,DK,Blue,Win,Lucid,Ivern,JUNGLE,15,0,0,10,Perfect KDA,176,166,,5.4,11102,344,17.8%,53,16,9,15,14,1.64,0.5,0.46,0.28,18.7%,3175,919,883,1373,98,4.5%,0.31,83.3%,,0,0,0,0,261,12,127,0,0,1018,1018,10703,1886,12800,8507,24,194,10939,0,16,33,0,0
62331,DK,Blue,Win,ShowMaker,Nasus,MID,18,4,1,4,8,311,12,,9.6,15013,465,24%,48,9,15,7,7,1.49,0.28,0.22,0.46,16.9%,15192,8181,6553,458,470,21.5%,0.25,66.7%,,0,0,0,0,-306,-4,75,0,0,5753,5753,11432,0,29520,0,12,967,24498,0,9,24,0,650
62331,DK,Blue,Win,Aiming,Smolder,ADC,17,7,0,2,Perfect KDA,348,12,,10.8,16474,510,26.4%,44,14,15,4,4,1.36,0.43,0.12,0.46,15.5%,29786,21509,4031,4246,922,42.1%,0.28,75%,,0,1,0,0,481,15,-130,0,0,7352,7352,6575,0,8901,0,10,340,13129,0,5,28,50,0
62331,DK,Blue,Win,Moham,Rell,SUPPORT,13,0,2,10,5,25,0,,0.8,8265,256,13.2%,99,58,11,19,19,3.06,1.79,0.59,0.34,34.9%,3507,563,2460,484,109,5%,0.31,83.3%,,0,0,0,0,-128,1,-532,-1,0,4086,4086,784,0,12291,0,20,38,13015,56,21,33,0,0
62331,FOX,Red,Loss,Clear,Ornn,TOP,15,0,2,4,2,197,0,,6.1,9553,296,18.2%,33,7,12,0,0,1.02,0.22,0,0.37,11.8%,10168,3217,6951,0,315,17.1%,0.12,57.1%,,0,0,0,0,-5,-19,328,0,0,1863,1863,2046,0,26259,0,28,476,21741,86,1,20,0,0
62331,FOX,Red,Loss,Raptor,Xin Zhao,JUNGLE,14,2,5,4,1.2,166,147,,5.1,9415,291,17.9%,57,11,16,9,9,1.76,0.34,0.28,0.5,20.4%,9870,8562,906,402,305,16.6%,0.19,85.7%,,0,0,0,0,-261,-12,-127,0,0,0,0,23234,0,24052,0,14,513,40595,126,10,27,0,0
62331,FOX,Red,Loss,Clozer,Azir,MID,17,3,1,3,6,345,4,,10.7,13522,418,25.7%,37,14,8,5,4,1.14,0.43,0.15,0.25,13.3%,20698,158,20326,214,640,34.8%,0.19,85.7%,,0,0,0,0,306,4,-75,0,0,1720,1720,7072,0,13600,0,7,195,19746,0,7,26,50,100
62331,FOX,Red,Loss,Hena,Ashe,ADC,15,2,1,3,5,320,17,,9.9,13129,406,25%,37,13,8,4,4,1.14,0.4,0.12,0.25,13.3%,14595,10394,4173,28,452,24.5%,0.15,71.4%,,0,0,0,0,-481,-15,130,0,0,431,431,3224,0,7551,0,26,858,11334,0,6,27,650,50
62331,FOX,Red,Loss,Duro,Seraphine,SUPPORT,12,0,3,6,2,27,0,,0.8,6906,214,13.1%,115,53,18,18,15,3.56,1.64,0.56,0.56,41.2%,4153,900,3253,0,129,7%,0.19,85.7%,,0,0,0,0,128,-1,532,1,0,219,219,8768,6227,8057,4358,18,98,10911,51,20,37,0,0
62332,FOX,Blue,Loss,Clear,Renekton,TOP,15,3,6,4,1.2,204,4,,6.7,11025,360,20.7%,26,6,7,4,3,0.85,0.2,0.13,0.23,11.9%,15624,12986,2490,148,510,17.8%,0.23,58.3%,,1,0,0,0,301,-2,34,0,0,4228,4228,6354,0,30672,0,18,54,33845,199,5,25,300,100
62332,FOX,Blue,Loss,Raptor,Lillia,JUNGLE,15,2,4,6,2,224,213,,7.3,10420,340,19.6%,30,10,2,7,6,0.98,0.33,0.23,0.07,13.7%,23119,269,19340,3510,755,26.4%,0.26,66.7%,,0,0,0,0,743,33,1500,1,0,0,0,24876,0,27570,0,18,503,45143,127,8,22,0,100
62332,FOX,Blue,Loss,Clozer,Zeri,MID,17,4,4,7,2.8,306,0,,10,13178,430,24.8%,39,16,8,6,6,1.27,0.52,0.2,0.26,17.8%,22388,14657,7009,722,731,25.5%,0.36,91.7%,,1,0,0,0,26,-1,354,0,0,1681,1681,7585,0,14478,0,5,143,24718,153,7,26,0,450
62332,FOX,Blue,Loss,Hena,Ashe,ADC,15,3,4,5,2,269,10,,8.8,11808,385,22.2%,30,12,5,3,3,0.98,0.39,0.1,0.16,13.7%,22768,18470,4136,162,743,26%,0.26,66.7%,,1,0,0,0,1076,8,601,1,0,1645,1645,2961,0,11030,0,45,713,18389,182,5,23,0,250
62332,FOX,Blue,Loss,Duro,Alistar,SUPPORT,10,0,5,9,1.8,20,0,,0.7,6766,221,12.7%,94,46,9,19,17,3.07,1.5,0.62,0.29,42.9%,3776,205,2999,572,123,4.3%,0.29,75%,,0,0,0,0,361,-10,-332,-1,0,2860,2860,4627,2347,22319,0,28,69,25331,133,21,32,0,0
62332,DK,Red,Win,kingen,K,TOP,16,3,4,13,4,212,4,,6.9,11731,383,19.4%,32,10,7,7,6,1.04,0.33,0.23,0.23,15%,22879,17286,3358,2235,747,19.9%,0.52,69.6%,1,0,0,0,0,-301,2,-34,0,0,2281,2281,6002,0,43309,859,34,1663,28887,141,10,26,150,0
62332,DK,Red,Win,Lucid,Maokai,JUNGLE,15,4,3,14,6,166,144,,5.4,11219,366,18.6%,35,10,5,7,7,1.14,0.33,0.23,0.16,16.4%,16614,731,14546,1337,542,14.5%,0.59,78.3%,,0,0,0,0,-743,-33,-1500,-1,1,1091,1091,20263,0,33252,0,43,559,42407,117,8,24,350,0
62332,DK,Red,Win,ShowMaker,Corki,MID,17,6,1,12,18,271,4,,8.8,14250,465,23.6%,31,11,7,5,5,1.01,0.36,0.16,0.23,14.5%,37320,26103,6756,4461,1218,32.5%,0.59,78.3%,,1,1,0,0,-26,1,-354,0,0,7461,7461,8970,0,15041,0,5,119,18735,49,7,26,200,300
